"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"CD248",5.02556271988291,0.0474491105212199,0,0,0,0,Inf,"T"
"RBM11",4.10955245455706,3.57447309296201,0,0,0,0.188951921624663,Inf,"T"
"PDCD1",9.91397790135061,0.232594591040634,0.0244866328525168,0.315445618344463,1.11407583328165,0,Inf,"T"
"CTLA4",14.9324742513715,0.00195996081860146,0.0116227348077864,0,1.60728918757706,0,Inf,"T"
"PI16",9.27361895495487,0.903220677089511,0,1.60870318556676,0.0603183104402801,0.0602901916102044,Inf,"T"
"PDGFB",5.34098030413833,0.0713923955061705,0.024459835369756,0.447822446987552,0.0526251748983105,0,Inf,"T"
"HAPLN3",34.5908684951113,1.97769282825302,0.554770308967711,2.7739639093654,32.7738100644259,0,Inf,"T"
"PBX4",11.6404353182354,1.58252308042461,0.449485843566911,4.4883427378591,0,0.0267186333188502,Inf,"T"
"TNFRSF4",5.89487128645878,0.00252357030622182,0.0107846557323614,3.03733456086155,0.0466570253522011,0,Inf,"T"
"FAM241B",4.79852344266294,0.0609952441534649,0.00268932423338769,0.532873588375752,1.70997839591569,0,Inf,"T"
"AXIN2",6.00740394677254,2.14430372426331,0.0164818196901665,0.251476313923438,0.00170731109029129,0,Inf,"T"
"ADAM12",1.34140599213244,0.0548632772017866,0.3256038207612,0.132930209709759,0.387001444626916,0,Inf,"T"
"DKK3",1.66493875103154,0.0257891879761656,0,0.177041744314235,0,0,Inf,"T"
"CXCR6",8.199563368484,0.467098368877921,0.215036634579998,5.54240277793381,1.46599589067027,0,Inf,"T"
"ELOVL4",2.16916214892976,0,0,0.0707792489970506,0,0,Inf,"T"
"GZMK",47.6691283292207,0.310416752597382,0.0401779706612475,24.0424589879591,0.248129516129716,0,Inf,"T"
"ZNF683",52.3908881330136,0.124742498594518,0.00723782515312282,7.25989374938122,0.0105661184735984,0,Inf,"T"
"CD8B",173.034983308018,0.0214111971789043,0.00522249353430019,2.31693067134612,0.637025702968082,0.0254816586703746,7.62931776332498,"T"
"TRAT1",108.077680008747,0.119500017780478,0.111419765894262,0.771984090553535,0.223219291418003,0.0236991933781316,6.64676933168286,"T"
"NELL2",83.1088315215497,0.308315794248336,0.0128483083540193,1.40685994961345,1.0009132922019,0.0395383225768199,6.10402809454316,"T"
"LEF1",268.684400346337,1.52452381279019,0.239436051745493,10.6269073841186,0.998392835616749,0.0241149733921992,6.06772313123329,"T"
"CAMK4",120.520824016536,6.67741372171544,0.085489662272634,0.396477807800748,0.954355957666367,0.00962732732489885,6.02694904499767,"T"
"MAL",68.3888489230079,0.848744714043302,0.015477625778198,0.128473287041089,1.17929662242229,0.0724686740162444,5.99402450756168,"T"
"CD40LG",52.7299146309683,0.209688932167019,0.140994991097136,0.434314966031885,0.892492468136851,0.0274475617506228,5.57805522648189,"T"
"UBASH3A",38.1992042369441,0.0939309881300947,0.0544596641400161,1.61885913153619,0.218009288006502,0.0547975132915531,5.48703394553835,"T"
"BCL11B",16.0990174656734,0.0760244507223474,0.0138030007557152,5.15060386031765,0.0845230283103733,0.00441218804217324,5.40167252071286,"T"
"SIRPG",57.8228419715503,0.00297332184540408,0.793732597013508,1.19307587945705,2.56193050038038,0.212735621952275,5.3532825701216,"T"
"CD3D",169.004259478548,0.597308413072219,0.616711882085966,23.4245340063705,3.68323506941587,0.0402076637977128,5.08088337623145,"T"
"TC2N",245.019643000905,3.34209155426665,0.320169065095305,126.53125608716,1.43837671831015,0.0821621370819809,4.94681146520258,"T"
"INPP4B",67.0093337369275,0.130815344415741,0.381897897482391,2.10480568738562,13.2878665014278,0.0195100482507186,4.92529625872324,"T"
"LRRN3",32.8238268218643,0.63363452082165,0.124371051144086,0.297399339378202,2.71971020269235,0.0283353147244105,4.75446854054176,"T"
"CD5",125.181415851137,3.39010305549534,0.470602331930929,1.16937399505819,88.0111034457166,0.0682327544317396,4.34652012098562,"T"
"CCR7",338.087908170377,191.691698163165,0.291446306532373,14.281033279145,43.4878109861909,0.145014171119,4.11861033494707,"T"
"TCF7",116.262400874881,7.16356006925346,0.62983027689489,13.2339654911902,3.5851959757718,0.253833926875449,3.95680432793625,"T"
"LAG3",4.78909327227587,0.0326852950689251,0.00116377069279632,4.48976153172294,1.60760113254556,0.0320469211751165,3.89452738325842,"T"
"TJP3",14.2858256901875,2.20171848211291,0.0011599774341112,6.20060591448827,0.775793811184862,0.405767697981278,3.7195303322646,"T"
"IL32",331.410723746992,3.31118304848138,1.56382632006097,200.03650689905,16.228426614676,2.09934304171233,3.70909248217464,"T"
"ACSL6",13.5122826510786,0.696668390089676,0.190235127451716,0.573167928872018,1.15146561635145,0.0666795508034392,3.63246672206426,"T"
"TMEM204",24.9190215336159,0.874837396225028,0.111892132636835,6.75019842624377,24.2267057540328,0.0119944059913309,3.54567635926373,"T"
"CFH",6.61191584645616,0.0243429721431556,0.853116476030073,0.45550280956397,1.19161578672832,0.02382655682443,3.5333472471038,"T"
"TNFRSF25",121.997435866488,3.31066768228253,1.22022654893979,16.5985572892578,53.3390095471459,0.172834624770262,3.51865000973228,"T"
"ITK",184.904436938057,3.65522217596702,2.16792667390163,91.3875993129023,12.1128264040962,0.619973964160612,3.49959412192414,"T"
"RORC",7.74420317458071,0.232254872119967,0.194532162155449,0.340801298244828,1.62671674808221,0.0678770945088298,3.32234984483618,"T"
"SPOCK2",115.323297563774,27.2681441159497,0.188280892195573,68.9208299779716,3.49340801430681,1.06552518782019,3.31109889747557,"T"
"FAM153A",11.6458201059344,0.888885268884785,0.253707344692218,0.383409967094939,7.67462553177782,0.0398882406301606,3.18130045458366,"T"
"GPRASP1",8.21373281659497,3.3046838491675,0.208836729775341,2.90460142289786,0.821961581069395,0.00312686596975602,3.15947773302948,"T"
"CCR4",11.1926612131489,0.551627662083882,0.374708529654239,0.594426456322637,3.59088629846988,0.224263383202674,2.87789473879314,"T"
"GIMAP5",175.727297594727,2.82997629031024,36.4237726204866,90.2711535635518,63.208593011936,0.171317540120404,2.86483100394145,"T"
"PLEKHB1",37.7406808168441,14.8407529072202,1.61903017044834,6.12827042098079,4.03034669460385,0.115039708672696,2.78604031450031,"T"
"PLCG1",87.628583877684,14.0010334755267,2.46476049764882,42.1209366670737,11.5871215033502,0.429990010290919,2.69557290930789,"T"
"STMN3",19.3186511079426,4.95384617500561,0.573307203709141,1.90398865048419,12.4443816190697,0.0584150862750135,2.68729704168127,"T"
"FBLN5",3.8128063677624,0.546989297654584,0.036096253862042,0.745971179123123,1.01419998361471,0.0845843067976325,2.67313889067287,"T"
"KLRG1",156.904071969885,7.67684807525626,3.79734992631335,120.354357511466,124.199070261323,0.646497316130114,2.54590414929866,"T"
"SCML4",78.8895731444067,32.2824203321241,0.266471496545845,49.3633254405496,7.14078533890521,5.47500598256563,2.4245973257933,"T"
"APBB1",63.8411115396414,17.5300852250198,2.15554239621691,32.769516715942,26.6343949421949,0.243679696189911,2.35804487509108,"T"
"PLXDC1",23.7112782987493,1.4194589128222,1.36515879015728,21.2649844794771,8.75190593976571,0.170048752449204,2.34270887321307,"T"
"ATG9B",10.4038634878093,3.83913154319204,0.4852705361748,2.3752091550547,6.88318853436947,0.0931618711510162,2.13358758881401,"T"
"PIK3IP1",315.493416384691,79.5244865710155,39.0530145245599,90.3943295664126,79.4353587347038,3.98321815993242,2.09369776264829,"T"
"KIF5C",1.94348232949407,1.19591837624519,0.122669711490259,0.262039784044205,0.449785018834579,0.0861925587845131,1.96623364267073,"T"
"RNF157",8.56304289788397,0.861875827231253,0.717918310283821,2.24240381543855,5.45339392942642,0.360514687964441,1.94675151855618,"T"
"FLT3LG",46.720703325479,8.79682738738984,5.59962585144056,8.18330720859,39.4511340243821,0.967922669375398,1.9158579925506,"T"
"GSTM3",6.66956541277883,1.27807356460726,0.420189308375611,1.49792492455358,5.83515491513256,0.258157209642011,1.85913489769415,"T"
"GAL3ST4",5.20330278802874,0.812898808392172,0.496475723454955,0.868146259249058,4.69919247297547,0.29264628080611,1.79532644861564,"T"
"OBSCN",8.22981379547645,4.60800650206082,1.06475436552693,2.32403840726886,7.86584708410443,0.135456436606384,1.60830921497796,"T"
"CA6",4.04260372431154,1.04046488646498,0.623931615840521,0.832572160791513,3.79559063351213,0.207476160340223,1.56772518476199,"T"
