"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"UBASH3A",1061.890392541,10.5300150096834,6.105136566,6.038374156,4.841232059,10.09959562,4.99757405673468,"T"
"TRAT1",1787.60207643353,13.9610794609918,6.845897848,25.38745132,10.65205619,10.38229418,4.98862380598939,"T"
"ICOS",883.705659317303,6.76434335539351,5.362446048,12.554434,6.702810599,6.199101199,4.81450592870588,"T"
"CD3D",13738.8756597399,114.385387173153,79.18206065,250.8695535,106.1967153,250.9974436,4.56258630620643,"T"
"CD8B",1444.97183848226,21.0649510951374,14.49443263,20.09303314,14.20160728,31.43329135,4.31125090136476,"T"
"TCF7",3581.67867865133,51.7582492677606,18.65570294,415.1493446,32.56860072,55.11585006,4.10475486906252,"T"
"LEF1",1420.62797490227,30.5285005386412,12.54164279,115.1927029,11.61178237,31.2755148,3.94101879948757,"T"
"CD3G",3086.44717486412,60.9402385416361,31.97464945,252.9163802,29.83579519,160.0909817,3.71890649960571,"T"
"DPP4",799.046203750531,18.9994029296083,19.65506451,43.07303297,11.79647193,19.5766283,3.65786344509281,"T"
"CD7",1989.58557875806,15.8879333312594,20.48373388,1666.682281,27.07256267,25.19240764,3.64991270080081,"T"
"LCK",8429.77162158218,335.820293310494,80.75884433,3604.565205,43.79168499,186.8691266,3.55795444636371,"T"
"TRAC",14810.3284466424,640.536491921918,208.9784165,815.6846136,215.6237237,790.0055576,3.49225214507033,"T"
"FLT3LG",1522.32786347715,30.9491973264523,69.27835254,226.7845957,18.33062213,26.35814025,3.47302986046807,"T"
"TRBC1",10506.5282309579,631.429815572399,78.94320693,4520.50562,189.1209091,181.0122765,3.32494287598257,"T"
"BCL11B",4971.36328548413,161.427706801669,88.02675109,818.2107999,95.81819269,166.8927472,3.32172496179019,"T"
"RPL3P7",2712.99950666265,124.303267289046,109.4607889,256.6761145,20.79837075,142.5383492,3.29369184145247,"T"
"IL7R",16411.1960736462,305.443683124248,163.3050166,1159.340489,2156.179359,742.6718185,3.27385125131995,"T"
"CTLA4",425.835391323201,18.2411949555377,18.619765,11.01469755,16.48246747,38.69364838,3.11703099252628,"T"
"ITK",7624.46043297254,459.709419339723,124.1014103,3056.935046,102.079759,380.4695205,3.0303123856472,"T"
