"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"CD3G",369.187089285171,15.8585446464175,19.4911482705354,52.1640991086377,18.7530088099833,28.2170750964387,2.71943455601138,"T"
"CD8A",553.011881505019,22.6994351910098,28.444038460515,131.276727889172,26.335450617328,67.5952842055171,2.54897141827564,"T"
"ICOS",215.011897778395,9.90116213988316,17.0350795754438,17.5691264199453,26.1014196072543,18.1503166885136,2.53974381422322,"T"
"TRAT1",210.21200232042,8.0061722695921,12.6586673668062,17.6582471149346,24.8607962404925,34.0520082477585,2.50192875964732,"T"
"MAL",272.125120366413,26.907851540858,20.9658437595501,17.2923565858704,19.8430950772026,34.5127406518072,2.46330956617663,"T"
"TNFRSF25",186.538356815596,18.7533015247143,29.7402635341644,52.4071528937756,27.8393121993905,29.2507100916107,1.83158334694641,"T"
"CAMK4",98.4300857393557,20.8018951179002,13.744786697761,20.5394372840928,14.1227304780877,27.8958370211138,1.65848379431622,"T"
"CTLA4",98.5363895832076,16.6953616717502,19.4275741816353,17.2059648220169,25.6541104449588,21.0891555224832,1.60631727316225,"T"
"CD40LG",81.6919943589119,15.5151012097745,21.8096130473314,11.7329187027089,22.1627822662187,22.2364026983782,1.50561436291597,"T"
"PRR5",70.9585207450241,28.5510141438282,29.4635202787254,56.5710748427577,28.5634071064373,26.1590010566559,0.784762905322157,"T"
"FLT4",24.8685996157669,23.3128793001943,17.5833802251226,24.7643179021922,18.9568552116569,21.2606271685893,0.168728661657802,"T"
"MS4A1",26.888042733527,1504.02587536252,22.1454646059789,17.7357848014469,17.9501031519997,31.4380922489671,4.19579773191735,"B"
"CD79A",48.2558573609817,835.909627330261,38.2786663286248,28.5275054089139,24.2057988303827,47.6043666492363,3.14416142887891,"B"
"CD19",27.1828785274543,568.94387223511,24.8438683176875,22.761588640055,17.7612218613377,32.72808578661,3.142677021338,"B"
"TCL1A",29.5634876393841,679.945190887376,25.8381631783788,15.834174825694,78.3172774253867,35.2503000375619,3.05725109121031,"B"
"PAX5",19.9696382428131,205.319949011261,21.8149528607381,21.3588151672097,22.7665531078198,24.0813260619549,2.23556900961635,"B"
"OSBPL10",19.0293887576659,105.214457713256,15.2976143414888,20.3019786948896,16.0872293111616,21.3475612139594,1.75132811025521,"B"
"PTPRK",24.4133361081459,78.1897892830646,10.8123403433549,10.2236647129667,17.8564336222402,19.195315889412,1.61162848530282,"B"
"SIDT1",83.0203535489183,239.590195272754,25.2932973219153,133.492022173964,34.6399297496481,37.5601136959577,1.536006606575,"B"
"SLC38A1",350.610109416561,458.298923602082,28.0826952472497,353.858986881304,96.349198896037,62.9613999411444,1.37267608743033,"B"
"SETBP1",31.2097757685288,150.76412034083,36.1533534338046,134.647092216946,36.5397832957294,26.226904485712,1.25644735903933,"B"
