"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","cell"
"ABCB1",4.18273,2.0179895,1.0279174,21.7773,1.0233595,1.1922685,"NK"
"ABTB1",16.9498,15.6781,40.4688,27.16005,20.8694,542.456,"Neutrophils"
"AC068775.1",1.150746,1.06965385,1,168.296,1.0271868,1.1667044,"NK"
"AC106774.10",1,1,1,1,1,7.97778,"Neutrophils"
"AC107959.5",1,1,2.1547,1.169449,1.116571,205.1685,"Neutrophils"
"AC136616.2",1,8.17436,1,1,1,1,"B"
"AC141272.1",1,6.66618,1,1,1,1,"B"
"AC233755.1",1.17602,187.226,1.0671945,1.1924805,1.304877,1.0268207,"B"
"AC233755.2",1,17.3835,1,1,1,1,"B"
"ACOX1",7.04836,3.87009,11.9773,7.136945,9.20263,69.5031,"Neutrophils"
"ACSL1",3.04609,3.42786,25.885,3.91546,5.00037,285.9015,"Neutrophils"
"ACTN1",21.3703,1.0728599,20.2107,5.85475,9.30276,227.8025,"Neutrophils"
"ADAM28",1.0308339,53.1594,1.814158,4.203805,3.1535,3.631025,"B"
"ADAMTS1",1.0254392,1,1,8.14767,1,1,"NK"
"ADAP2",1.0436057,2.75167,27.3993,1.02351385,1.974786,2.006464,"Monocytes"
"ADGRE1",3.22064,1.06193955,36.1276,1.29098125,3.61028,5.827855,"Monocytes"
"ADGRE3",1.106846,1.1277135,36.5421,1.076786,1.738832,320.0035,"Neutrophils"
"ADM",1.0245157,1.0177667,8.19639,1,1.0317475,165.34,"Neutrophils"
"AGK",17.4282,7.732665,7.95391,94.4341,11.2745,1.113437,"NK"
"AIM2",4.42085,68.0441,6.68006,1.0409603,1.09625,8.63166,"B"
"AL031777.3",1.519791,2.443835,1.14264,1.08795895,1.464763,17.7901,"Neutrophils"
"ALDH1A2",1,1,1.273002,1,1,22.8481,"Neutrophils"
"ALDH3B1",1.153167,1.2995695,85.8605,17.86695,16.5426,19.34985,"Monocytes"
"ALPL",1,1.7261505,1.0185391,1,1,172.7815,"Neutrophils"
"ANKRD65",1.0128987,1.02681065,1.0226248,1.0195233,5.80472,1.0235523,"DC"
"ANPEP",1.0675318,1.147228,29.8389,1.0116992,2.73384,127.23395,"Neutrophils"
"ANXA3",1.0634882,1.1958295,1.0809929,1.0204322,1.0583454,122.492,"Neutrophils"
