Mixture,T.cells,B.cells,Monocytes,NK,DC,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
3038,0.847482444895382,0.0792679417698583,0.891319289763212,0,0,0,0,0.946661278556871,0.342558783793718,1.81806967642845
3044,0.881063115798089,0.0823052076306873,0.630885137343275,0,0,0.17650854102641,0,0.945166283735312,0.417376484124609,1.77076200179846
3070,0.881665047012323,0.0392012653438578,0.787996761904551,0,0,0.0416104939203853,0,0.951721202352776,0.348904815051888,1.75047356818112
3093,0.70437545012613,0.0487279432801055,0.933600557249985,0,0,0.183481659213335,0,0.93010681030581,0.373146860619986,1.87018560986956
3123,0.964078225235991,0.0748726227213106,0.626180440462884,0,0,0.0038330571604759,0,0.944686933722431,0.41290977181706,1.66896434558066
3127,0.721407181526099,0.0206565558116906,1.07801866531108,0,0,0.19376604856023,0,0.952437094120895,0.307966136501947,2.0138484512091
3150,0.81942064119695,0.0533621930189755,0.733636775843903,0,0,0.187237594123971,0,0.939507106219197,0.391207209186547,1.7936572041838
3160,0.841703254089907,0.0728755258516292,0.70774945933762,0,0,0.163141204482219,0,0.938890981137064,0.401926060881225,1.78546944376138
3024,0.64352514046739,0.0679458601419,0.925856971058415,0.0691535341494113,0,0.138726263063409,0,0.962426597640118,0.290381542484511,1.84520776888052
3025,0.730405998823474,0.0441745721048365,0.830058836732196,0,0,0.267542539123774,0,0.941804636056318,0.363689452894515,1.87218194678428
3027,0.659626170731463,0.0593795476016345,0.950483498029989,0.0192626557269807,0,0.191167764232864,0,0.963871440387863,0.282671375651056,1.87991963632293
3033,0.767466883904123,0.0479920763964433,0.675601112245216,0.0127796417860648,0,0.271309544263881,0,0.948304292639191,0.386472777292816,1.77514925859573
3034,0.837615854533176,0.0595623404027666,0.927378958978286,0.000624370197616421,0,0,0,0.957180177398881,0.307501972293474,1.82518152411184
3040,0.682611651488935,0.0572751390148035,0.751560441900474,0,0,0.42170000386165,0,0.953075824116752,0.358319425821901,1.91314723626586
3042,0.76006670488968,0.043176064741041,0.976081689323749,0,0,0.0590880490572272,0,0.959578707742887,0.289944059914421,1.8384125080117
3045,0.888300998604061,0.0806969934229943,0.77827827031966,0.00344389312678709,0,0.118040300632144,0,0.958846819998216,0.352872989045268,1.86876045610565
3055,0.867568833051676,0.0513461427713259,0.49791015707032,0.00197132877274232,0,0.256311083551176,0,0.917335894462185,0.489501240174212,1.67510754521724
3063,0.495270975493136,0.083303960258697,1.08979274280381,0.0345913524751418,0,0.304370855861259,0,0.953174044365089,0.306456313065414,2.00732988689205
3078,0.919025804711287,0.126236371243608,0.662006615819017,0,0,0,0,0.94095433413198,0.412013931383612,1.70726879177391
3100,0.837716283765654,0.039635921041176,0.695280650560311,0.0568674831865926,0,0.137168827180526,0,0.944928533745732,0.392516892349992,1.76666916573426
3115,0.773905943318474,0.0437860939460251,0.777932287491424,0.0322149042891809,0,0.133760994844216,0,0.957376777246802,0.336383627092261,1.76160022388932
3134,0.745804043708096,0.0842176390771382,0.936642854043235,0.0111283921895123,0,0.133759380892378,0,0.955552166945886,0.315777163981315,1.91155230991036
3152,0.618272079146534,0.122847574429162,0.924434455694133,0.101572378159501,0,0.017760504339727,0,0.959154219643573,0.297317598136764,1.78488699176906
3154,0.657306433243655,0.121385735556473,0.84313229689833,0.0440050447269452,0,0.0847566894208998,0,0.959013063124116,0.312807926687936,1.7505861998463
3170,0.863897253926336,0.0895347988938418,0.626584610241487,0.00323408566068247,0,0.152379947178719,0,0.934656750578227,0.432447779148866,1.73563069590107
3172,0.726926961099504,0.0270043289270536,0.55909246423819,0,0,0.636965714079543,0,0.941806339896104,0.427731667928221,1.94998946834429
3174,0.819190383431459,0.045353035673402,0.983383396197081,0,0,0,0,0.942538436825344,0.338422935007362,1.84792681530194
3197,0.908251280400265,0.0720131262468323,0.686341740763692,0.0207131203480911,0,0.0284421899823584,0,0.957423845028712,0.371661638406093,1.71576145774124
3218,0.612899248745668,0.0204018026171721,1.12846811268304,0.0131018482600645,0,0.1825962122104,0,0.965089461692338,0.2639079809754,1.95746722451635
3228,0.881596746586952,0.0172810014094309,0.687712738146711,0.043847291116774,0,0.118194671003152,0,0.946485153084039,0.39006152629796,1.74863244826302
3023,0.915231150180332,0.00633953898316242,0.836157054347115,0,0,0.15569258348384,0,0.920612457180841,0.413414886791362,1.91342032699445
3039,0.705052114367361,0.0385952044859411,0.917870749650833,0,0,0.208156684887604,0,0.94227515684181,0.34582208965149,1.86967475339174
3071,0.69655952388584,0.0238811414925381,0.99243480292617,0,0,0.270109948049569,0,0.946546991681228,0.330750445885939,1.98298541635412
3081,0.716314720921583,0.079580871947379,0.747329853239951,0,0,0.245677925478911,0,0.961480867947539,0.336882360664815,1.78890337158782
3089,0.962641286974646,0.0367686595138769,0.671221934445717,0,0,0.0626577594663161,0,0.936473340887922,0.415555777794754,1.73328964040056
3091,0.713001240065892,0.0390005948956046,0.718792650719208,0,0,0.455874547041206,0,0.924590774936933,0.421295094581518,1.92666903272191
3111,0.814702918590033,0.0490395191972436,0.669930539670067,0,0,0.263488365905686,0,0.943414695805952,0.401675113202975,1.79716134336303
3112,0.741276684299778,0.0548585123835815,0.949130883641639,0.0260532333313409,0,0.135869278696325,0,0.951602601138275,0.322292816146849,1.90718859235267
3114,0.67693591342874,0.0926154271628723,1.1106438268849,0,0,0.100612202407888,0,0.960562063610734,0.280217577795082,1.9808073698844
3120,0.626332842693664,0.0759716119050571,0.909507751215955,0.106951449894208,0,0.0786752787253717,0,0.962245441945843,0.290874480540053,1.79743893443426
3122,0.562884207119291,0.0684204285428918,0.858071667908007,0.037839282727731,0,0.407227135098448,0,0.940716208820846,0.36016903703946,1.93444272139637
3124,0.73120553850486,0.0454145955828093,0.982771821764326,0.0180792567346389,0,0.205052096185592,0,0.948667449632686,0.3286196792073,1.98252330877223
3133,0.673711975373257,0.0463285274578034,0.67298305304798,0.047435088124187,0,0.434604847324871,0,0.940436332882643,0.402006023213776,1.8750634913281
3136,0.984631782200336,0.038212564524241,0.601938805216736,0.0265633123646706,0,0.0184635455763324,0,0.949630900822628,0.412659255919837,1.66981000988232
3141,0.810287269213903,0.0448114476126227,0.957554572046699,0,0,0.030511732585493,0,0.945335605951631,0.33386818298548,1.84316502145872
3161,0.819653365708548,0.106225401541964,0.632529917196327,0.0276055732848014,0,0.109441815975792,0,0.945072284471837,0.409708758609721,1.69545607370743
3183,0.804770976920049,0.0289259169964716,0.887766185887192,0,0,0.280050541294016,0,0.943277918395326,0.360162809629436,2.00151362109773
3184,0.849908643849656,0.0277423074193653,0.711450370883329,0,0,0.207982758840433,0,0.923607754689717,0.425224645077557,1.79708408099278
3206,0.86142911234503,0.0526587343345881,0.80844206759718,0,0,0.0815124796108163,0,0.953465142934596,0.344777284128763,1.80404239388761
3221,0.680297813666728,0.102691035756894,0.743356139390961,0.0927915767291992,0,0.141919278283111,0,0.943287685214807,0.378502568374059,1.76105584382689
3223,0.692160605701542,0.0558438565192785,1.1423254260088,0,0,0,0,0.960941854964231,0.276970714721551,1.89032988822962
